Time,Температура (°C),Влажность (%),Авария,Счетчик аварий
22.07.2026 22:02:31.636,26.044312,54.052734,0.000000,0.000000
22.07.2026 22:02:31.747,26.044312,54.052734,0.000000,0.000000
22.07.2026 22:02:31.858,26.024170,54.052734,0.000000,0.000000
22.07.2026 22:02:31.970,25.993958,54.052734,0.000000,0.000000
22.07.2026 22:02:32.082,26.014099,54.052734,0.000000,0.000000
22.07.2026 22:02:32.194,26.014099,54.052734,0.000000,0.000000
22.07.2026 22:02:32.305,26.014099,54.052734,0.000000,0.000000
22.07.2026 22:02:32.416,26.014099,54.052734,0.000000,0.000000
22.07.2026 22:02:32.528,26.044312,54.052734,0.000000,0.000000
22.07.2026 22:02:32.639,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:32.751,25.973816,54.052734,0.000000,0.000000
22.07.2026 22:02:32.863,26.024170,54.052734,0.000000,0.000000
22.07.2026 22:02:32.975,26.014099,54.052734,0.000000,0.000000
22.07.2026 22:02:33.087,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:33.198,26.014099,54.052734,0.000000,0.000000
22.07.2026 22:02:33.310,26.024170,54.052734,0.000000,0.000000
22.07.2026 22:02:33.422,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:33.534,26.014099,54.052734,0.000000,0.000000
22.07.2026 22:02:33.646,25.973816,54.052734,0.000000,0.000000
22.07.2026 22:02:33.758,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:33.869,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:33.981,25.943604,54.052734,0.000000,0.000000
22.07.2026 22:02:34.093,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:34.204,25.973816,54.052734,0.000000,0.000000
22.07.2026 22:02:34.316,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:34.427,25.993958,54.052734,0.000000,0.000000
22.07.2026 22:02:34.539,25.973816,54.052734,0.000000,0.000000
22.07.2026 22:02:34.651,25.933533,54.052734,0.000000,0.000000
22.07.2026 22:02:34.763,25.973816,54.052734,0.000000,0.000000
22.07.2026 22:02:34.875,25.933533,54.052734,0.000000,0.000000
22.07.2026 22:02:34.987,25.973816,54.052734,0.000000,0.000000
22.07.2026 22:02:35.099,25.943604,54.052734,0.000000,0.000000
22.07.2026 22:02:35.211,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:35.323,25.973816,54.052734,0.000000,0.000000
22.07.2026 22:02:35.435,25.933533,54.052734,0.000000,0.000000
